"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Islas Caimán","CYM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","0.57","","0.83","","1.08","","1.25","","1.28","","1.47","","1.77","","1.61","","1.23","","","","","",
"República Checa","CZE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","","0.72","","0.77","","0.81","","1.08","","1.3","","1.37","","1.75","","1.93","","1.67","","1.17","","","","","",
"Alemania","DEU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","","0.96","","0.91","","1.03","","1.46","","1.55","","1.56","","1.9","","1.96","","1.8","","1.39","","","","","",
"Djibouti","DJI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63","","1.75","","1.41","","1.32","","","","","",
"Dominica","DMA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08","","","1.05","","1.01","","1.09","","1.51","","1.58","","1.54","","2","","2.02","","2.01","","1.55","","","","","",
"República Dominicana","DOM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.4","","0.71","","0.49","","0.85","","1.03","","1.04","","1.23","","1.58","","1.41","","1.07","","","","","",
"Argelia","DZA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.2","","","0.4","","","0.31","","0.27","","0.22","","0.32","","0.32","","0.34","","0.32","","0.29","","0.27","","0.28","","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.385","","","","0.54","","0.71","","0.915","","1.08","","1.31","","1.17","","0.82","","","","","",
"inicial del dividendo demográfico","EAR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.53","","0.515","","0.625","","0.8","","0.87","","1.02","","1.24","","1.14","","0.91","","","","","",
"Asia oriental y el Pacífico","EAS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.445","","0.42","","0.68","","0.87","","0.94","","1.205","","1.36","","1.23","","0.9","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.55","","0.48","","0.68","","0.86","","1.115","","1.105","","1.385","","1.27","","0.815","","","","","",
"Europa y Asia central","ECS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.67","","0.72","","0.8","","1.17","","1.29","","1.28","","1.59","","1.805","","1.6","","1.18","","","","","",
"Ecuador","ECU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","0.33","","","0.38","","0.31","","0.55","","0.54","","0.47","","0.51","","0.53","","0.58","","0.6","","0.61","","","","","",
"Egipto, República Árabe de","EGY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","0.3","","","0.29","","","0.29","","0.26","","0.19","","0.28","","0.3","","0.49","","0.48","","0.45","","0.88","","0.4","","","","","",
"Zona del Euro","EMU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.925","","","0.84","","0.75","","0.84","","1.21","","1.34","","1.5","","1.7","","1.92","","1.79","","1.36","","","","","",
"Eritrea","ERI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","0.4","","","0.37","","0.56","","0.36","","0.8","","1.9","","2.53","","2.54","","2.49","","3.33","","2","","","","","",
"España","ESP","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","0.84","","0.73","","0.83","","1.21","","1.15","","1.23","","1.56","","1.75","","1.63","","1.26","","","","","",
"Estonia","EST","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","","0.45","","0.6","","0.58","","0.94","","1.23","","1.18","","1.54","","1.76","","1.46","","1.14","","","","","",
"Etiopía","ETH","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","0.26","","","0.32","","","0.36","","0.46","","0.52","","0.6","","0.93","","0.92","","0.91","","1.05","","0.99","","0.75","","","","","",
"Unión Europea","EUU","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.865","","","0.78","","0.76","","0.84","","1.21","","1.32","","1.38","","1.67","","1.91","","1.77","","1.32","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.555","","0.525","","0.835","","0.96","","1.1","","1.15","","1.25","","1.21","","0.9","","","","","",
"Finlandia","FIN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","1.17","","1.06","","1.12","","1.54","","1.55","","1.57","","1.94","","2.08","","1.89","","1.45","","","","","",
"Fiji","FJI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","0.91","","1.07","","1.15","","","","1.41","","1.34","","0.82","","","","","",
"Francia","FRA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","","","1.11","","0.99","","1.05","","1.42","","1.48","","1.52","","1.98","","1.91","","1.79","","1.39","","","","","",
"Islas Feroe","FRO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabón","GAB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","1.16","","","","","","0.63","","0.53","","0.69","","0.9","","0.64","","1.14","","","","1.04","","1.02","","0.92","","","","","",
"Reino Unido","GBR","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92","","","1.11","","1.17","","1.18","","1.56","","1.63","","1.44","","1.92","","2.17","","1.92","","1.46","","","","","",
"Georgia","GEO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","","","0.48","","0.73","","0.86","","1.09","","1.13","","1.34","","1.24","","0.76","","","","","",
"Ghana","GHA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.53","","","0.38","","","0.32","","0.2","","0.28","","0.49","","0.86","","0.9","","0.82","","0.92","","1.06","","0.92","","","","","",
"Gibraltar","GIB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67","0.61","","","","","","0.68","","0.85","","0.66","","0.75","","0.79","","1.02","","0.95","","1.34","","1.45","","0.9","","","","","",
"Gambia","GMB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.67","","","","","","0.83","","0.64","","0.46","","0.75","","1.08","","0.79","","","","","","1.37","","1.18","","","","","",
"Guinea-Bissau","GNB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea Ecuatorial","GNQ","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grecia","GRC","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.88","","","0.65","","0.72","","0.78","","1.14","","1.16","","1.23","","2.05","","2.06","","1.98","","1.54","","","","","",
"Granada","GRD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.54","","0.54","","0.73","","0.89","","1.28","","1.02","","1.4","","","","1.12","","","","","",
"Groenlandia","GRL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.39","","","0.41","","0.53","","0.48","","0.68","","0.78","","0.86","","0.95","","1.14","","1.01","","0.79","","","","","",
"Guam","GUM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","0.37","","0.31","","0.74","","","","0.84","","0.93","","1.08","","1.15","","0.9","","","","","",
